- აი, თქვა ამზადენთ ლაარჭემს.	Well, you make this pipe.
აი, ათაქ გეძ ასე ლაარჭემი დო თეეს მუჭო აკეთენთ.	Here is a pipe; how do you make it?
აი, მუშე აკეთენთჷ დო თეს მუ... მარგაჲეფ სო მითმიოგანდეეს, მუს მითმიოგანდეეს?	Well, what is it made of? Where did Megrelians played it?
- აასე კინ თი ბოშიშ ჭყოლოფუა რე თენა.	It is still thanks to that guy, Dito.
სერგი მაკალათიაშ წიგნი ქაშამიოლ ხეშა.	I happened to get a book by Sergi Makalatia.
თექ საოცარო აფ ეჭარილ თენა დო თი წიგშე მუთ მიჩქჷნ, ათეს მახოლო ქიგეჩიებუთჷ.	He provides an amazing description of a pipe. I'll tell you what I know from the book.
ლარჭემიშ ბაზრობა ჸოფედ ხოობის.	It says that there was pipe fair in Khobi.
ოდო ათავრე მიშჷნ პიროვნება ხობშა, ბაზრობაშანჷ, მეზობელ მეზობელს ოჩინანდ, ლარჭემ ქუმომჯუმევა.	When someone from here went to the fair in Khobi, his neighbor asked him to buy a pipe for him.
ქომჸიდია დო ქუმომჯუმევა.	He asked to buy and bring it.
ათე საკრავ ვაოფედ, თენა რდჷ საქონელიში მჷკართინაფალჷ ინსტრუმენტი, ნამუთუთუ, ესე იგი, ბრუო ინა რე თენა, ჟირი, ოთხი, ამშვ, რუო.	It was not a musical instrument. It was a shepherd's pipe to summon livestock back. This is to say there are eight reed stems, two, four, six, eight.
ბრუო კალამია რე აკოსკვილჷ თენა, ათე რუო კალამიაშე.	Eight stems are tied up. It is made of tied up eight stems.
ართ ართ საკრავიე ათენა, ნამუთ წყაარს იშოლუ.	It is one of the musical instruments which is soaked in water.
წყარ ქიგიბათუ დო უკულ უღ საოცარ ხმა დო ანა ხოლო ვესვა..	Water is poured onto it, and, then, it has an amazing sound.
ათჷნა რე ლაკაციაჲ ეშვებით სკვილი, მარა თეშ ოკო რდას ოკო სკვილი, თენა ვაკოციასი დო დუდ ვეძირედასჷ ოკო.	It is connected by means of acacia thorns; however; they should be tied up so that they will not dissemble, and the top of the knot is to be visinle.
დაჭყაფუ დო დასასრულ ვეძირედას ოკო სოთინჷ.	A beginning and end of the knot should not be visible anywhere.
ათჷნა გუაკეთჷ დო ათე ზომეფ მა ხოო ლააფ ვამჩქჷდ თეჲ დო წარმოდგენა ვამღჷდ მუ დჷნ.	Dito provided me with the sizes, and this is what I made. I couldn't play it and had no idea what it was.
დო წარმოგიდგინებ, ათენა ეთი ბაღანა ბოშიქ ქუმორთ, დემურ ბიძიავა, თქუ, მუზეუმს მაფუნია ნაძირეფჷ დო წარმოიდგინ, თენა თექ თბილისშა გურაფულენდჷ დო უკულ აბარენდჷ თი პერიოდიჲ მიდურთუმუდ დო თენა არძა დუზიმუდჷ ათაშ დინახაეშე, ქუთხუუ ოდო ქუმომიღ ზომა.	Can you imagine? The child, the boy, Dito came and said: "Uncle Demuri, I have seen it at the museum". Imagine, he studied in Tbilisi and then passed exams. In that period, he went to the museum and measured all the pipes from inside; he asked the museum to allow him. And, he brought me the sizes.
გუაკეთით თენა, ენა უკვე ნაღდაას თინა რე, მუთუ რდჷნი.	I made this. It actually was a copy of the original version.
მაჟია ქუაჩუქჷ მუსჷ.	I presented Dito with another one.
მასმა - ბათუმურ პიროვნება დჷ თენა, გვარ გუმოჭყორდ, ათეე ხალხურ ფოლკლორს იჭარანდჷ.	As for the third one, there was a man from Batumi, I forgot his last name, who recorded folklore.
ვა... ვა... ვაფშ გვარ.	I don't remember his surname.
ოდო წარმოიდგინი, ეთის ქუაჩუქჷ.	And, imagine, I presented him with it.
უფრო სწორად, გუკეთი დო ქიმუჯღონ თაურენგანჷშე.	More exactly, I made and sent it to him.
ასეე ათეშიი უპრატესობა მურე?	Well, what is its advantage?
ათჷნად მაგალთოო ჩხოულეფსჷ შხვა ხონარით უძახჷდეს, კურუენს შხვა ხონარით, მოზვერ... მოზვერენს შხვა ხონარით.	It was that, for example, cows were summoned with one sound, oxen - with another, and calf - with still another. Various livestock were summoned with various sounds.
ოდო აარძა დჷ საქონელიშ მჷკართინაფალჷ დო დაძახინალჷ.	All of the pipes were for calling and makeing return.
უკულიი მუჭო სალამურ, ჭყიშენს უღუდეს იგივეთ მუკართინაფალი თეში, უკულ საკრავო გინირთჷნ თეში, გინირთ თექ ხოლო მიოგამალო საკრავო.	Initially, a shepherd's pipe was used for calling livestock; later, it became a musical instrument.
ასე მა ქიმუოშვიტინანქ თეეს.	Now, I'll whistle with it.
ასე თქვაცალო ჩაბერვათ, ასე დინობარუათჷ.	You have to blow it.
ათექ მა მუთ გინომით თე ბაღანაქჷ ქოიჩქჷნო?	Do you know how Dito surprised me?
ბაღანას უძახჷქ, ქჷმაპატი გიო, ინა, მუ ჯოხო, დედაა..	I'm calling the child, I'm sorry, Gia, what is his name, God...
- დიტო.	Dito.
- დიტო.	Dito.
სახელ ხოლო ქა...ქაშმომოჩირთ ჩქაქ.	I made a mistake about his name.
,,დილა მშვიდობისა საქართველოშა’’ ჸოფე მოწვეულ დო დომრეკ ახალ ინას.	He was invited to the show "Good Morning, Georgia" and called me.
ოდო დემურ ბიძიავა, ჭუმე ოჭმარეს ქორჩოდჷნიაო.	He said: "Uncle Demuri, aren't busy tomorrow in the morning?"
მუშენი?	I said: "Why are you asking?"
მუდგარენ მოკონ თიქ ვათქუ დო დოირეკჷნქია დო დომრეკ ვითიშ გვერდის.	He said he wanted something. He couldn't tell it to me and promised that he would call me. He called me at half past nine.
დემურ ბიძიავა, ასე ქემერთია, ტელევიზორ ჩართია, მიწუ დო მუკჷვოჯინიო, ამარ ქოვძირ.	He said: "Uncle Demur, now go and switch on you TV". I watched it and saw him there.
დო წარმოიდგინ, ჩქიმ ნაკეთებ ჩონგურით დო ათე ჩელა ვარდუო ბიძია მიოგჷნ, მა ათაქ ჩილამურც იმგარდი, თი დონეშა.	Imagine, he played "Chela" with the lute made by me, my dear. I liked it so much that I cried here with tears running down.
ხო ქჷგახიოლუა გემორაგადუ თევრეგანშე, მუ ჯოხომაქ-უწიი.	He added: "Are you glad?"; I said that I, of course, was glad.
ათენათ რთულიე, მარა თი დონეშა ქიმიოგ დო კაკალე დიხაჲ ჟირხოლოჲ ჩაბერვა ხოლო [რდჷ დო].	It is difficult to play the pipe but he played it so well that sometimes he blew in two pipes.
თენა ირდ სოდგადნჷ ათავრე წალენჯიხაშ რაიონჷშა, თიჯგუა დაინტერესებულიე თენა.	Dito visited Tsalenjikha District because he is rather interested in musical instruments.
ოდო ეთექჷ ჯვეეშ ჭყჷშიქ დაგურუ თეენა.	There, in his village, an old shepherd taught him how to play it.
ათეჯგუა მოიტერეს..	He is rather interested.
- აის მუშე ამზადენთ, ან მასაჲა მუიჲე?	What do you make it of? What material is it?
- ათჷნა ორე დასურო ლარჭემს უძახჷნა თესჷ მარგაჲურო, ლერწამი - ქორთულო.	The Megrelian for it is "larchemi." The Georgian is "lertsami" [=reed].
ლარჭემიე, ჩაანს თენა თაქ.	Reeds grow here.
ხვარენდეს თესჷ იში, მურე თიჲ ჯოხონი, ბინეხიშ სინა ვარდჷნ თი დროსჷ თეშ გაბუნაფალო, მჷკაკილარო.	It was used, what do you call it, a wire for the vine, when there was no wire, it was used for fixing vines.
ნახვილენს გინმაბუნუანდეს, ქჷგაბუნუანდეს ოსურეფ მინდორს დო ჩაანდ თენა.	Women hung and fixed washed clothes with it; and reeds grew.
მა ვამჷჩანს, მარა ათაქ მეზობელს უჩანს ართ დიხას, მაჟია დიხას, მუდა დიხას ჩანსჷ დო ეთეურეგანშე რე თენა მოღალირჷ.	I don't have it but my neighbor has on one spot, on another as well, it grows on many locations and is brought from there.
ენა შიშხვათ გიშაგორე ოკო თენა.	You have to choose it with respect to thickness.
ოდო მიღჷ ასე ოძირაფალო, ნამდა პირველ საკრავიე, მიოგამალიე ვამიჩქ საკრავიშ სახელ მარგალურო.	I have something to show you; this is the first musical instrument. It is percussion. I don't know the Megrelian word for the instrument.
ოდო მარგალური, ათჷნა მარგა... ათეთ იჭყაფჷ არძა მა... ინა საკრავ, მარგალურჷ საკრავეფ.	It was Megrelian. This is the beginning of al Megrelian musical instruments, a history of Megrelian musical instruments.
ლარჭემიშ ისტორია ათეჯგუა რე მოკლეთ.	This is the history of a pipe in short.