Russian	Mingrelian
Я	მა
Мы	ჩქჷ
Ты	სი
Вы	თქვა
Он	თინა
Они	თინეფი
Здравствуйте	გომორძგუა
Всего хорошего	ჯგჷრობუა
Дай Бог тебе всего хорошего	გოიმორძგუ ღორონთქჷ
До свидания	ჯგჷრო ორდა
Как ты?	მუჭო რექჷ?
Хорошо себя чувствую	ჯგირო ვორექჷ
Где ты находишься?	სო რექჷ?
Я здесь	თაქჷ ვორექჷ
Куда идешь?	სო მეულჷ?
Туда	თეურე
Сюда	თაურე
Куда?	სოიშა?
Ваше имя	თქვანი სახელი
Как тебя зовут?	სი მუ რჯოხო?
Как Вас зовут?	თქვა მუ რჯოხონა?
Меня зовут Вано	მა ბჯოხო ვანო
Мое имя Вано	ჩქიმი სახელი რე ვანო
Я Вано	მა ვორექჷ ვანო
Моя фамилия	ჩქიმი გვარი რე
Если можно познакомимся друг с другом	შილებენი და ართიანი გეფჩინებაფუათჷ
Безмерное спасибо	უზომო მადლობა
Хочу познакомить	მოკო გჷგოჩინებაფუათჷ
Это есть	თენა რე
Рад Вашему приходу	მოხიოლჷ თქვანი მოულა
Я из Абхазии (Гал; Сухум)	მა აფხაზეთიშე (გალჷშე; სოხუმიშე) ვორექჷ
Я впервые в этой стране, в этом городе	მა პირველო ვორექჷ თე ქიანასჷ, თე ნოღასჷ
Можно войти?	შილებებენო მინიბლენი?
Извольте войти	მოზოჯითჷ
Извольте сесть	დოზოჯითჷ
Извините	ბოდიში
Не за что (не стоит)	მუში მადლობა? ვაღირსჷ
Всего хорошего желаем!	ირფელი ჯგჷრცჷ გიზალანთჷ!
Всего хорошего	ჯგირო ორდათჷ
Хорошей дороги	ჯგირი შარა
Город	ნოღა (ქალაქი)
Село	სოფელი
Место рождения	დაბადებაში არდგილი
Нация	ნაცია
Образование	განათლება
Приглашение	დაპეჯება
Страна	ქიანა
Турист	ტურისტი
Учреждение	დაწესებულება
Учеба	გურაფა
Писать	ჭარუა
Спросить	კითხირი
Разговор	რაგადი
Язык	ნინა
Знакомство	გაჩინება
Понимание	გაგება
Работа	სამუშა
Имя	სახელი
Фамилия	გვარი
Спасибо	მადლობა
Аэропорт	აეროპორტი
Когда я должен быть в аэропорту?	მუჯამი ოკო ვორდე აეროპორტისჷ?
Какой автобус едет в аэропорт?	ნამუ ავტობუსი მეურცუ აეროპორტიშა?
Куда летите?	სო მეფურინჷნთჷ?
Еду в Омск	მეულჷ ომსკიშა
Каким рейсом летите?	ნამუ რეისითჷ მეფურინჷნთჷ?
Начата ли регистрация на рейс № 2526?	რეისი №2526 რეგისტრაცია ქჷდიჭყესო?
Начали	ქჷდიჭყესჷ
В какие дни рейсы в Москву?	მუ დღალეფცჷ რე რეისეფი მოსკოვიშა?
Сколько стоит билет?	მუ ღირჷ ბილეთი?
Я из Гала	მა გალჷშე ვორექჷ
Еду в гости	მეულჷ სუმარო
Вот мой паспорт	ა ჩქიმი პასპორტი
Где таможня?	სო რე საბაჟო?
Где расписаться?	სოდე მუვოჭარა ხე?
Что везете?	მუ მეიღუნა?
Подарки	საჩუქარეფი
Откройте чемодан	გონწყითჷ ჩემოდანი
В кассе заплатите деньги	ფარა გინიგითჷ კასასჷ
Таможенное страхование	საბაჟო ზღუალა
Пункт обмена валюты	ვალიუტაში გინათჷრალი პუნქტი
Камера хранения	მიობარებელი (ოჩუალარი) კამერა
Бюро обслуживания	სამოინალო ბიურო
Место	არდგილი
Номер рейса	რეისიში ნომერი
Регистратура	რეგისტრატურა
Вход в самолет	ავტომაფურინჯეშა ეშალი
Выход	გჷმალი
Таможенные правила	საბაჟო წესეფი
Мне надо пройти в посольство России	მა მიოულარი მაფუ რუსეთიში საელჩოშა
Разменяйте 100 долларов	გომხურდეთჷ 100 დოლარი
Граница	სანძღო
Таможня	საბაჟო
Таможенный сбор	ბაჟი
Посольство	საელჩო
Продление визы	ვიზაში გაგჷნძორება
Паспорт	პასპორტი
Гостиница	სასუმარო
Гостиница находится на берегу моря	სასუმარო რე ზღვაპიჯისჷ
В Вашей гостинице нужен один номер	თქვანი სასუმაროსჷ მოკო ართი ნომერი
На какое время останавливаетесь?	მუზმა ბორჯისჷ გაჩენდჷთჷ?
Останусь на восемь дней	ბრუო დღასჷ გაბჩენდჷქჷ
Покажите Ваш паспорт	ქჷმოძირითჷ თქვანი პასპორტი
Ваш номер на первом этаже	თქვანი ნომერი პირველი სართულცჷ რე
Вот моя виза	ა ჩქიმი ვიზა
Сдали груз?	ჩაბარითო ოღალი?
Откройте чемодан	გონწყითჷ ჩემოდანი
Какой валютой платите?	ნამუ ვალიუტათჷ იგანთჷ?
Можете пройти	შეილებუნა მიკილათჷნი
Мы любим гостей	ჩქჷ მიჸორა სუმარეფი
Дома слово гостя для хозяев закон	ჸუდესჷ სუმარიში ზიტყვა მენძელიშო კანონი რე
Что-нибудь болит?	მუთუნცჷ გაჭუნანო?
Воды принесите	წყარი ქჷმომღითჷ
Где остановка такси?	სოდე რე ტაქსეფიში გაჩერება?
Вода (теплая, горячая)	წყარი (ტჷბუ, ჩხე)
Баня	აბანო
Комната	ოთახი
Номер (однокомнатный, двухкомнатный, люкс)	ნომერი (ართოთახიანი, ჟიროთახიანი, ლუქსი)
Администратор	ადმინისტრატორ
Ключ	კჷლა
Уборка	გასუფთება
Стирка	ნახუა
Глажка (гладить)	უნთუა
Готов(а)	ხაზჷრი რე
Остаться	დოსქჷლადა
Подметать	ხუშუა
В городе	ნოღასჷ
В какой стороне посольство России?	სოურე რე რუსეთიში საელჩო?
Где железнодорожная станция (метро)?	სოდე რე რკინაში შარაში სადგური (მეტრო)?
В какой стороне театр?	სოურე რე თეატრი?
Я ищу улицу Гагарина	მა ბგორჷნქჷ გაგარინიში შუკასჷ
Где мне достать карту Москвы (Сухума)?	სო მაში მოსკოვიში (სოხუმიში) კარტა?
Дайте мне Ваш адрес	ქომუჩითუ თქვანი მისამართი
Как прийти (подойти) к берегу моря?	მუჭო მეფრთა ზღვაპიჯიშა?
Я не знаю дорогу	მა ვამიჩქჷ შარა
Идите вперед	მეუთუ წოხოლე
Поезд отходит в 8 часов	მახინწალი გინოურცუ ბრუო საათისჷ
Где выйти?	სოდე გჷმაფრთა?
Выход из здания слева или справа?	სადგჷმიშე გჷმალი კვარჩხანშე რე დო ვარი მარძგვანიშე?
Очень спешу	მანგარო მანჭუაფუ
Здесь остановите	ათაქჷ გამჩერითჷ
Что это за здание?	მუ სადგჷმი რე თენა?
Где турбюро?	სო რე ტურბიურო?
Где ближайший ресторан (почта, туалет, универсам)?	სო რე უხოლაში რესტორანი (ფოსტა, ტუალეტი, უნივერსამი)
Когда будем в Очамчире?	მუჟამჷ იპიითჷ ოჩამჩირესჷ?
Вход, выход	მინალი, გჷმალი
Дом, здание	ჸუდე, სადგჷმი
Мост	ხინჯი, ბოგა
Перекресток	შარააკართუუ
Переход	შარაგინალი
Штраф	შრაფი
Дорога, улица	შარა, შუკა, ზეფირი
Дорога для пешехода	კუჩხიში შარა
Переход запрещен	გინუულა ვეშილებე
Открыто, закрыто	გონჯამილი, კჷლერი
Купаться запрещено	ტანიში ბონუა ვეშილებე
Выходной	მოშვანდაში დღა
Стоянка машин	მაშინაში გიორნაფალი
Дверь закройте	კარი დოკჷლეთჷ
Выход, вход	გუმოულა, ეშუულა
Последняя остановка	ბოლო გაჩერება
На каком этаже продается косметика, часы, обувь, одежда, постель?	ნამუ სართულცჷ გჷმიჩამუ კოსმეტიკა, საათეფი, მადვალარი, ბარგი, ოლაჸაფინჯიეფი, ნორჩალი?
Есть ли продавцы, говорящие по-русски?	ქორენანო რუსული უჩქჷნანი ეფერი ნოქარეფი?
Хотел купить	მოკოდჷ ჸიდირი
Что хотели?	მუ გონებუნა?
Покажите Вы эту?	ქუმოძირითჷ ეთინა
Это для меня дорого	თენა ჩქიმო ძვირი რე
Где магазин мелочей?	სო რე ჩინჩანეფიში მაღაზია?
Я в состоянии заплатить эту цену	მა თე ფასისჷ ევალექჷ
Не нравится (нравится)	ვამობწონცჷ (მობწონცჷ)
Есть что-нибудь дешевое?	ეფიანი მუ გიღუნა?
Можно примерить?	შილებებენო ქიმკიბზჷმუე?
Мне идет?	ქჷმოსქვანცო?
Мне это мало	თექჷ ჭიჭექჷ მაჸუუ
Мне велико	დიდი მაფუ
Какого размера Ваша нога?	ნამუ ზომა რე თქვანი კუჩხი?
Где продают сигареты?	სიგარეტეფცჷ სოდე გუმოჩანა?
Дайте зажигалку	ქომუჩითჷ იორზამალი
Журнал мод имеете?	მოდეფიში ჟურნალი ქოიღუნანო?
Сколько стоит этот журнал (книга, газета, тетрадь, очки)?	მუ ღირჷ თე ჟურნალი? (წიგნი, გაზეთი, რვეული, სათოლე)
Возьмите квитанцию	გეჭოფითჷ ქვითარი
Покупка	ჸიდირი
Размер	ზომა
Продажа	გუმოჩამა
Счет, цена	ანგარიში, ფასი
Платье, шапка	კაბა, ქუდი
Дешево, дорого	ეფი, ძვირი
Проба	მორსება
Сложить (в сумку)	ინოტკვარჩუა
Платить деньги	ფარაში გაფა
Короткое, длинное	კუნტა, გჷნძე
Маленькое, большое	ჭიჭე, დიდი
Одежда	მუკაქუნალი, მიკოქვენჯი
Обувь	მადვალარი
Широкое, узкое	ფართო, ინწჷრო
Мыло	საპონი
Полотенце	ხეშქოსალი
Вязаные носки	ნაშუა ტატმანეფი
Здесь торгагентство?	თაქი რენო ვაჭარობაში სააგენტო?
За сколько будет продан этот товар?	მუშა გეგმიჩამუდუ თე საქონელი?
Товар дорог	საქონელი ძვირი რე!
Не снизите цену?	ვადოურკენთო ფასისჷ?
Каковы оптовые (розничные) цены?	მუზმა რე საბითუმო (საცალო) ფასეფი?
Где товарный рынок?	სო რე საქონელიში ბაზარი?
Понадобятся две машины	გივახვილუუთუ ჟირი მაშნასჷ
Что интересует еще?	მუ გოინტერესჷნა ხოლო?
Интересует все, что касается техники	მოინტერესჷ ირფელი, მუთუ ოხუუ ტექნიკასჷნი
Мы пришли к единому мнению	ჩქჷ ართი არზიშა ქიმეფრთითჷ
Какова себестоимость и рыночная цена?	მუ რე დუდფასი დო საბაზარო ფასი?
Хотел увидеть господина (госпожу)	მოკოდჷ პატჷნი (ოსურპატჷნი) ქობძირიკონი
Простите, занят, в течение одного часа не сможет принять	ბოდიშითჷ, ვაჩოდჷ ართი საათისჷ, ვემიაღებეთჷ
Хочу насчет контракта с Вами поговорить	მოკო კონტრაკტიში გურშენი მუგერაგადათჷნი
Когда передадите документы?	მუჟამი გეგნოფჩანთჷ დოკუმენტეფცჷ?
Завтра или послезавтра	ჭუმანი, ვარდა ჭუმეშიგეღანი
Хочу поговорить о ценах	მოკო ქობრაგადუათჷ ფასეფიშენი
Цены выдерживают конкуренцию	ფასეფი გოურზჷნა კონკურენციასჷ
Деньги должны быть уплачены в течение 10 дней	ფარაშჷ გაფაქჷ ოკო იჸუასჷ ვითი დღაშა
Подписываю документ	ხესჷ ვოჭარა დოკუმენტისჷ
Транспортировка за Ваш счет	ტრანსპორტირება თქვანი ხარჯიშა იჸიი
Доставка (туда, сюда)	მეღალა, მოღალა
Деньги, цена	ფარა, ფასი
Изготовитель, производитель	მაკეთებელი
Мешающие факторы	მოცილე ფაქტორეფი
Внутри, снаружи	დინოხოლე, გალე
Опыт	გამოცადება
Переводчик	მათანგალი
Товар	საქონელი
Владелец, продавец	მინჯე, ვაჭარი
Снижение, повышение	დოკუნა, ეკუნა
Покупатель	მაჸიდე
Обслуживание покупателей	მაჸიდეფიში მოინალობა
Принятие мер	ზომეფიში მიღება
Технические вопросы	ტექნიკური ოკითხეფი
Образец	მიოგურაფალი
Возможность	შელება
Новшество	სიახალე
Технический уровень	ტექნიკური დონე
На месте	არდგილცჷ
Аванс, биржа	ავანსი, ბირჟა
Выгодный	მომგებიანი
Проигрышный	წამგებიანი
Качество	ხარისხი
Налог	ნალოგი
Профессия	პროფესია
Кто Вы по профессии?	მი რეთჷ პროფესიათჷ
Где, кем работаете?	სოდე, მითჷ მუშენთჷ?
Учитесь или работаете?	გურაფულენთჷ დო ვარჷ მუშენთჷ?
Я нигде не работаю	მა სოთინი ვამუბშენქჷ
Я учусь в школе (институте, университете)	მა ბგურაფულენქჷ სკოლასჷ (ინსტიტუტისჷ, უნივერსიტეტისჷ)
Я работаю в неделю шесть дней	მა მუბშენქჷ მარას ამშვი დღასჷ
Хочу начать новую работу	მოკო დიბჭყე ახალი სამუშა
У меня хорошая зарплата	მა ჯგირი ხელფასი მიღუ
Мне дают маленькую зарплату	მა მარზენა ჭიჭე ხელფასისჷ
Врач	ექიმი
Летчик	მაფურინალი
Медсестра	მედდა
Моряк	მეზღური
Певец	მაბირე
Писатель	მაჭარალი
Учитель	მაგურაფალი
Секретарь	მდივანი
Художник	მახანტალი
Агентство трудоустройства	დასაქმებაში სააგენტო
Место, работа	არდგილი, სამუშა (ოხანდე)
Няня (детсткая)	ბაღანეფიში ძიძა
Временная работа	დროებითი სამუშა (ბორჯი მეჩამილი ოხანდე)
Подписание контракта	კონტრაქტიშა ხეში მოჭარუა
Ищу любую работу	ბგორჷნქჷ მუდგა სამუშასჷ
Буду ухаживать за стариком, ребенком	მუკოულუა მოხუცებულცჷ, ბაღანასჷ
Какую работу ищете?	მუნერი სამუშასჷ გორჷნთჷ?
Имеете ли какие-нибудь рекомендации?	გიღუნანდო ვარი მუთუნი რეკომენდაციეფი?
Что входит в мои обязанности?	მუ მიშოურცჷ ჩქიმი მოვალეობაშა?
В какие дни должен работать?	ნამუ დღალეფცჷ ოკო იბხანდე?
По вторникам, четвергам и субботам	თახაშხასჷ, ცაშხასჷ დო შურიშხასჷ
Компьютер знаете?	კომპიუტერი ქოიჩქჷნანო?
Автомобиль	ავტომობილი
За какое время доедем от Гала до Сухума?	მუზმა ხანიშა ქჷმმართენა გალიშენო სოხუმიშა?
Сколько до трассы?	ტრასაშა მუზმა ქიმემძჷნა?
Вот мой техпаспорт	ა ჩქიმი ტეხპასპორტი
Где могу залить бензин?	სოდე ენმაბინე ბენზინი?
Счастливого пути	ბედინერი შარა
Вы ехали слишком быстро	თქვა ნაბეტანი ჩქარასჷ მეურდითჷ
Здесь нельзя останавливать машину	თაქი ვეშილებე მაშინაში გაჩერება
В ресторане	რესტორანცჷ
Где ресторан?	სო რე რესტორანი?
Принесите меню	ქჷმომღითჷ მენიუ
В нашем ресторане много национальных блюд	ჩქჷნი რესტორანცჷ ბრელი ნაციონალური ოჭკუმალი რე
Где можно более дешево покушать?	სოდე შილებე უმოსი ეფასჷ ობჭკუმათჷნი
Эти места заняты?	თე არდგილეფი მოკებული რენო?
Заходите, можете здесь сесть!	მუნოზოჯითჷ (მუნილითჷ), ათაქი შეილებუნა დოზოჯათჷნი
Что пожелаете?	მუსი ინებენთჷნი?
Извините пожалуйста	ბოდიშითჷ, პატჷნი
Заплатите четыреста рублей	გინომგითჷ ოტხოში მანათი
Имеете ли мамалыгу и крошеный сыр	ქოიღუნანო ღუმუ დო ჸვალიფუჩხოლია?
Хотим один литр красного вина	მოკონა ართი ლიტრა ჭითა ღვინი
Завтрак	საკაკალო
Обед	სადილი
Ужин	ოსერშე
Хлеб	ქობალი
Каша	ფაფუ
Сахар	შანქარი, ჭაფურია
Масло	ერბო
Колбаса	კალბასი
Сыр	ჸვალი
Морковь, капуста	სტაფილო, კაპუსტა
Яйцо, картошка	კვერცხი დო კარტოფილი
Редька	ბულეკი
Яблоко, свекла	უშქური, ჭარხალი
Груша, фасоль	სხული, ლებია
Персик, чеснок	ატამა, ნიორი
Гриб, рис	სოკო, ბრინჯი
Огурец	კჷნტჷრი
Икра, лук	ქვირითი; ხვარხვი
Мясо, язык	ხორცი; ნინა
Жареное, вареное	ჭვილი; ხაშილი
Рыба	ჩხომი
Форель, улитка	კალმახი; ფერწო
Свинья, овца	ღეჯი; შხური
Печень, почка	ჩხონჩხი; ჭაჭა
Курица, индюк	ქოთომი; კოკუში
Теленок, цыпленок	გინი; წიწილა
Перец	ზაფანა
Баклажаны	პათჷრჯანი
Помидоры	პამინდორი
Сельдерей	სონა
Замороженный	ნაჸინა
Печенье	პეჩენია
Мед	თოფური
Халва	ხალვა
Апельсин	ფორთოხალი
Виноград	ჸურძენი
Земляника	ცჷმჸვა
Вишня	ბული
Минеральная вода	მინერალური წყარი
Вино	ღვინი
Стакан	ჭირქა
Почта, телеграф	ფოსტა, ტელეგრაფი
Где почта?	სოდე რე ფოსტა?
Во сколько открывают?	ნამუ სათისჷ ინჯამუუ?
Дайте конверт	ქომუჩითჷ კონვერტი
Сколько платить?	მუზმა იბგა?
Хочу звонить в Москву	მოკო მოსკოვშა რეკუა
Откуда звонить?	სოურეშე ბრეკა?
Сколько стоит одна минута?	მუ ღირჷ ართი წუთი?
Линия занята	ხაზი მოკებული რე
Поговорю из своего дома	დოურაგადუა ჩქიმი ჸუდეშე
На чужой номер попал	შხვა ნომერცჷ ქჷმობხვადი
Голос повысьте!	ხუმასჷ ეუკუნითჷ!
Снова позвоните	ახაშო დომრეკითჷ
Вы кто будете?	თქვა მი ზოჯჷნთჷ?
Господин, госпожа	პატჷნი, ოსურპატჷნი
Письмо, звонок	წერილი, რეკუა
Занято	მოკებული რე
Выпишите квитанцию	გაიშომჭარითჷ ქვითარი
Заканчивайте переговоры	მიოტეთჷ რაგადი
Заболели?	დელახითო?
Нам нужен врач	მოკონა ექიმი
Невропатолог	ნევროპატოლოგი
Зубной врач	კიბირიში ექიმი
Глазной врач	თოლიში ექიმი
Я простужен	მა გორგილაფირი ვორექჷ
Вот здесь болит	ათაქი მაჭუ
Я сломал ногу	მა კუჩხი გიბტახი
У меня температура (жар)	მა სინჩხე მიღუ
Горло болит	ხორხოტასჷ მაჭუ
Кашляю	მოხვალაფუანცჷ
Голова болит	დუდისჷ მაჭუ
Я аллергичный	მა ალერგიული ვორექჷ
Хочу лекарства	მოკო წამალეფი
Удалите этот зуб	გემინწყითჷ ათე კიბირი
Потерял очки	მემდინჷ სათოლექჷ
У меня ослаблено зрение	მა თოლეფცჷ მორკჷ
У меня нет аппетита	მადა ვამიღუ
Когда еще приходить?	ხოლო მუჟამი მობთა?
Руку (ногу) порезал	ხე (კუჩხი) დიბკვათი
Вашей болезни помогут курорты	თქვანი ლახალასჷ კურორტეფი ოხვარჷ
Ессентуки лучше всего	ესენტუკი არძასჷ უჯგუ
Желудок, живот	კუჭი; ქვარა
Кишка, аппендикс	ჭჷ; კვერეჭი
Кость, кровь	ძვალი; ზჷსხჷრი
Нерв, язык	ნერვი; ნინა
Нога, ступня	კუჩხი, ნარჩა
Рука, палец	ხე; კითი
Печень, сердце	ჩხონჩხი; გური
Почка, желчный пузырь	ჭაჭა, ნე
Грудь, спина	კჷდჷრი; ოჭიში
Глаз, ухо	თოლი; ჸუჯი
Иголка, шприц	ლიფში; შპრიცი
Лечение	სკჷლადაფა
Болезнь	ლახალა
Температура	სჷნჩხე
Обгореть	გოჭუალა
Отравление	მოწამალუა
Ложиться	დონჯირა
Кто? Что? Где?	მი, მუ, სო
Куда? Когда?	სოურე? მუჟამი?
Вечером?	ონჯუასჷ?
Как? Почему?	მუჭო? მუშენი?
Из-за кого?	მიში გურშენი?
Из-за чего?	მუში გურშენი?
Чем? Каким образом?	მუთუ, მუნერო?
Кто там?	მი რე თექი?
Что я должен делать?	მუ ოკო ვაკეთე?
На что это похоже?	მუსუ გჷ თენა?
Где здесь туалет?	სო რე ტუალეტი?
За какое время?	მუზმა ხანცჷ?
Это верно!	თენა მართალი რე
Какое время?	მუჭომი (ნამუ) ბორჯი რე?
Что делаешь?	მუსჷ ორთჷქჷ?
Что это?	მუ რე თენა?
Такой	თეჯგურა (თეში მანგური, მაგური)
Что случилось?	მუქჷ მოხვადჷ?
Кто Вы?	თქვა მი რეთჷ?
Кто этот мужчина?	მი რე თე კოჩი?
Кто эта женщина?	მი რე თე ოსური?
Что Вы сказали?	მუ თქვითჷ თქვა?
Что мы должны сделать?	მუ ოკო ბღოლათჷ?
Что изволите?	მუსუ ინებენთჷ?
С кем вместе?	მიწკჷმა ართო?
Это так	ენა თაში რე
Как это называется?	მუ ჯოხო თესჷ?
Поняли?	ქჷგეგითო?
Помогите	ქჷმმეხვარითჷ
Понедельник	თუთაშხა
Вторник	თახაშხა
Среда	ჯუმაშხა
Четверг	ცაშხა
Пятница	ობიშხა
Суббота	შურიშხა
Воскресенье	ჟაშხა
Январь	ღურთუთა
Февраль	ფურთუთა
Март	მელახი
Апрель	პირელი
Май	მესეფი
Июнь	მანგი
Июль	კვირიკე
Август	არгусо
Сентябрь	ღვარალათუთა (ეკენია)
Октябрь	გჷმათუთა
Ноябрь	გერგობათუთა
Декабрь	ქირსეთუთა
Осень	დამორჩილი
Зима	ზოთონჯი
Весна	აფუნი
Лето	ბზარხული
Секунда, минута	მერქა, წუნი
Час	საათი
Один, два, три	ართი, ჟირი, სუმი
Четыре, пять	ოთხი, ხუთი
Шесть, семь	ამშვი, შქვითი
Восемь, девять	ბრუო, ჩხორო
Десять, ноль	ვითი, ნული
Одиннадцать	ვითაართი
Двенадцать	ვითოჟირი
Тринадцать	ვითოსუმი
Четырнадцать	ვითაანთხი
Пятнадцать	ვითოხუთი
Шестнадцать	ვითაამშვი
Семнадцать	ვითოშქვითი
Восемнадцать	ვითობრუო
Девятнадцать	ვითოჩხორო
Двадцать	ეჩი
Двадцать один	ეჩდოართი
Двадцать два	ეჩდოჟირი
Двадцать три	ეჩდოსუმი
Тридцать	ეჩდოვითი
Сорок	ჟარნეჩი
Пятьдесят	ჟარნეჩდოვითი
Шестьдесят	სუმენეჩი
Семьдесят	სუმენეჩდოვითი
Восемьдесят	ოთხონეჩი
Девяносто	ოთხონეჩიდოვითი
Сто	ოში
Двести	ჟიროში
Триста	სუმოში
Тысяча	ანთასი
Две тысячи	ჟირი ანთასი
Два миллиона	ჟირი მილიონი
Половина, треть	გვერდი; ნასუმორი
Четверть	ნანთხალი
В двойном размере	ჟირი წილი
В тройном размере	სუმი წილი
Полтора	ართი დო გვერდი
Один процент	ართი პროცენტი
Раз, два раза	ართიშა, ჟირიშა
Пара, дюжина	წყვილი, დიუჟინა (ჭკობა)
Белое, красное	ჩე, ჭითა
Желтый, черный	ჸვინთელი, უჩა
Голубое, зеленое	ჯღარკუნტია, რწვანე
Светлое, темное	ღია, რუმე